Coder name,Video file name,session,exam,Maternal behavior [Positive control],Maternal behavior [Negative control],Maternal behavior [Positive affect],Maternal behavior [Negative affect],Maternal behavior [Responsiveness],Maternal behavior [On Task],Maternal behavior [Verbalizations],Child behavior [Positive affect ],Child behavior [Negative affect],Child behavior [Responsiveness],Child behavior [On task],Child behavior [Non compliance],Child behavior [Autonomy],Child behavior [Activity],Child behavior [Verbalizations], [Reciprocity],Dyadic interaction [Conflict], [Cooperation],Cognitive - nonverbal,Cognitive - verbal,Affective - nonverbal,Affective - verbal,Technical - nonverbal,Technical - verbal
Omer,220,1,2201,5,1,4,1,6,7,4,4,2,6,7,1,2,4,2,4,1,3,0,13,2,0,1,1
Sharon,220,1,2201,6,2,7,1,6,7,6,7,1,7,7,1,2,3,3,2,1,4,19,12,,6,2,1
Omer,220,2,2202,6,3,4,2,6,6,5,4,2,4,5,3,4,6,3,3,2,1,,23,1,2,8,
Sharon,220,2,2202,6,2,6,2,7,6,4,7,1,6,4,2,4,4,3,3,1,3,5,12,,3,3,3
Omer,220,3,2203,4,2,3,4,6,7,5,2,1,6,6,2,5,6,2,5,3,2,1,22,3,7,0,5
Sharon,220,3,2203,4,3,5,2,6,7,4,4,1,6,7,1,3,4,3,4,1,3,14,15,2,5,2,4
Omer,220,4,2204,5,1,4,3,6,7,5,3,1,6,4,2,2,7,4,5,2,1,1,19,3,6,1,
Sharon,220,4,2204,5,1,6,2,6,7,5,6,1,5,5,3,3,7,4,4,1,3,25,19,1,8,2,
Omer,219,1,2191,6,5,6,1,5,7,7,4,1,4,4,3,2,5,3,4,2,3,7,16,2,13,3,1
Sharon,219,1,2191,5,5,6,1,6,7,5,5,1,5,5,3,2,5,3,3,1,3,12,10,3,8,7,3
Omer,219,2,2192,6,4,6,1,6,7,7,5,1,6,6,1,2,3,2,3,2,1,3,11,5,9,3,1
Sharon,219,2,2192,5,4,5,1,6,7,4,5,1,6,5,2,3,5,3,4,1,2,7,10,3,10,6,2
Omer,219,3,2193,6,5,3,1,4,7,7,2,1,5,4,3,2,3,2,2,2,2,0,4,0,6,0,0
Sharon,219,3,2193,5,5,3,1,5,7,5,3,1,4,4,4,2,6,2,2,1,2,2,7,,2,1,
Omer,219,4,2194,6,2,3,1,5,7,6,3,2,5,3,3,2,3,3,4,2,2,1,10,1,6,2,1
Sharon,219,4,2194,6,3,5,1,6,7,4,4,1,5,5,2,3,5,4,4,1,3,2,10,,2,4,1
Omer,218,1,2181,7,1,4,1,7,7,4,3,2,6,7,2,1,3,3,,,,2,10,0,1,0,0
Sharon,218,1,2181,7,1,4,1,7,7,5,5,1,6,5,2,1,3,3,4,1,6,9,8,1,,2,
Omer,218,2,2182,6,1,3,1,6,7,4,3,1,6,7,2,1,4,3,5,1,7,5,15,2,2,0,1
Sharon,218,2,2182,6,1,4,1,5,7,4,4,1,5,4,4,1,3,4,4,1,3,4,17,1,5,,
Omer,218,3,2183,6,2,3,1,7,7,5,3,2,6,6,2,2,3,3,3,1,5,11,22,1,0,0,0
Sharon,218,3,2183,4,3,3,1,6,7,5,4,2,5,4,3,1,3,4,3,1,2,8,16,,3,,
Omer,218,4,2184,6,3,3,1,5,7,6,3,2,5,7,3,3,5,4,4,2,6,5,19,0,2,0,0
Sharon,218,4,2184,5,2,3,1,4,7,5,3,1,5,4,3,1,6,4,2,1,2,13,27,,,,
Omer,216,1,2161,5,1,4,1,6,6,4,4,2,5,4,2,3,5,4,6,1,5,3,11,2,2,1,0
Sharon,216,1,2161,6,1,5,1,6,7,4,5,2,6,5,3,3,5,5,5,1,3,2,10,,,2,
Omer,216,2,2162,5,2,5,1,6,7,4,5,1,6,6,1,3,3,4,6,2,4,0,4,0,2,0,0
Sharon,216,2,2162,4,3,5,1,5,7,4,5,1,6,6,2,3,3,5,5,1,2,2,6,,2,,
Omer,216,3,2163,5,2,3,1,6,6,4,4,1,6,5,2,3,6,5,5,2,2,5,24,3,4,0,0
Sharon,216,3,2163,5,1,6,1,6,7,4,6,1,6,6,2,5,5,5,5,1,3,7,26,2,3,,
Omer,216,4,2164,5,2,4,2,5,7,4,4,2,5,4,2,3,6,4,4,2,1,17,44,8,0,0,0
Sharon,216,4,2164,4,1,5,1,5,7,4,5,1,4,4,3,2,6,4,5,1,2,10,23,5,,,
Omer,213,1,2131,6,2,5,1,6,7,5,3,2,5,4,2,2,1,3,4,2,3,2,21,6,6,0,0
Sharon,213,1,2131,5,1,5,1,6,7,4,3,3,6,4,3,2,3,3,3,1,2,5,18,1,2,,
