,granger_Child gaze:props_robot pointing:point at prop,granger_Parent gaze:props_robot pointing:point at prop,granger_Joint attention:props_robot pointing:point at prop,granger_Non-verbal scaffolding:affective_robot text:positive feedback,granger_Verbal scaffolding:affective_robot text:positive feedback,granger_Parent affective touch:affective touch_robot text:positive feedback,granger_Parent affect_robot text:positive feedback,granger_Child affect_robot text:positive feedback,granger_Mutual gaze:MG_robot text:pick up,granger_Child gaze:robot_robot text:pick up,granger_Parent gaze:robot_robot text:pick up,granger_Parent utterance:utterance_robot text:pick up,granger_Child utterance:utterance_robot text:pick up,granger_Conversational turns_robot text:pick up,granger_Non-verbal scaffolding:cognitive_robot text:pick up,granger_Verbal scaffolding:cognitive_robot text:pick up,granger_Parent prop manipulation:parent_robot text:pick up,granger_Child prop manipulation:child_robot text:pick up,granger_Parent gesture:point at prop_robot text:pick up,granger_Child gesture:point at prop_robot text:pick up
0,11.840947355982372,6.961309374667226,0,0.0,13.868772059398491,0.0,5.889178214890262,13.603076133625072,44.39815840489517,9.564314269650314,5.6037920213923265,17.242120004762437,16.457690196561817,10.707136881695702,15.97027159128548,46.47614837552781,5.667510113848703,11.9270203990182,0,0
1,11.337892946293678,5.984833294679847,0,0.0,74.52865821410711,0.0,8.996384982240794,15.827571177269194,14.06018969657882,8.972537695328487,7.341370831922904,20.45513010027216,13.480510720428866,8.524595585716206,9.269650072630549,18.26149757480465,9.728727463581778,32.12460536425392,0,0
2,11.110028529918715,7.196271300366363,0,0.0,71.54811940032462,0.0,18.035686284171582,7.1314716396283,0.0,9.472571846737518,3.845531315589183,16.932618421099345,22.655869419608248,5.885526582891046,14.478236765509054,28.579433436271223,7.3661484328244935,0.0,0,0
3,10.116596361896873,11.38124427512971,0,0.0,72.61631777347347,0.0,4.436760632944806,14.063448805783587,0.3301087575489592,22.085763866028543,15.458455539017066,41.189128627160095,9.608589944828026,21.782967737449976,51.69521322757356,22.337694459795557,10.036689246923387,18.718732604988237,0,0
4,9.925180132378728,2.6301209587864176,0,0.0,26.231095878667027,25.76206414966024,27.981309549608138,8.352301084902866,13.84191345801943,9.342535768042442,4.9473112079693635,16.476695551132266,9.866412066717047,12.02124890232543,0.0,9.52867362175753,17.851665489643175,21.39516539934111,0,0
5,10.52460769125022,5.71603465762173,0,0.0,23.249475512197975,25.023226323842586,6.943116028787719,19.99037655388769,1.0880185641326537e-13,25.07155364204844,11.480215067591134,13.553760662652346,17.11658611731702,14.720658093206085,34.282377252109136,29.46463991980437,0.0,11.70051078417511,0,0
6,7.382649398564546,9.382639936940633,0,0.0,25.975231403726024,0.0,14.387539097917236,8.49460616053713,19.925743022086532,17.296543252801364,19.565282433427292,28.68350017749128,8.470532439381463,7.794702267368539,30.83494245989879,18.90997171439806,41.522871520130366,31.25765722845921,0,0
7,12.403451846798502,5.593905300959927,0,1.617715855238257e-13,7.265592958152427,7.476719752755538,11.9628415790523,4.655021243038654,16.132212581644996,15.26203335942085,8.923467343701395,9.827423506960674,9.811787424725177,6.260242761966169,18.433106419511425,12.441969367831716,3.251371833465217,18.664368423703323,0,0
8,23.106929049703524,25.821767132952004,0,29.100069453569333,59.18596747112272,0.0,13.244549806319391,9.792318011993395,0.6327540465782626,6.411064696021112,5.639135660966983,16.899155642186813,25.079204138901325,10.542996103943603,6.041400900943783,7.648484648241764,3.8735907679047688,0.0,0,0
9,8.791845282255927,8.981387680594027,0,0.0,11.180962165798606,0.0,7.3311681022404045,4.63340220734293,12.940399429086758,7.5250904138688295,5.358739428201987,11.239497209904629,6.539773830314099,11.184663353293955,62.68705613462974,29.705143110512992,15.826343627846013,8.293859900309318,0,0
10,18.83252783146464,14.815595671012172,0,9.742207041085749e-14,102.27261083259432,0.0,8.05207068839049,18.436693463106142,0.0,4.843976071702945,7.6501154036802115,17.246862170556486,18.32944021232516,5.474088043190252,1.2805420278245652e-13,19.961259656781255,0.02262878934734872,5.503404005818778,0,0
11,11.054582304133293,5.106034301974321,0,0.0,33.72158398643284,9.229571411620157,11.740128363396279,18.697995643705553,9.775513731824503e-14,18.75457989102909,7.520334612179692,10.185620758269074,11.548158673939065,3.7422334753856834,30.132945142381157,14.572084392876882,37.65883134703793,9.22181185416704,0,0
12,3.239866062983487,8.92528110666526,0,25.439593826797573,19.381202329395425,1.2683044395121325e-13,28.770334403160184,6.673159050656813,30.4787697910654,12.169158388067585,3.5368382571559644,19.98160393101292,15.514084095871915,0.0,38.94249584295347,38.3657095382432,0.72975876561678,15.250615115266305,0,0
13,10.514091499188702,9.351358664296324,0,5.532405905500897,19.801701853387275,9.230101067079802,30.661683643082437,6.878667719229438,22.61457767414351,16.410844643834995,6.115349749046749,14.011204722987438,12.000301380147038,7.774862794739876,8.301696956349444,30.328541242398472,3.4090013170835807,10.218748098397297,0,0
14,8.055915659857115,8.43019284653674,0,9.618875168938688,40.05190951613806,39.81122719302629,14.7708861966945,20.732275475991376,12.441874947269248,13.913101770218475,2.2221751090909483,6.436137054047697,5.175355293460727,5.962769968090198,9.626044979773845,14.042101745497725,6.91573720882786,9.332261896711046,0,0
15,11.341164693646682,5.748132365923015,0,0.0,71.46748026421626,0.0,7.729610681225807,12.273147759458016,7.901749072636964,15.000618942060603,6.744700609108769,17.16536480162229,10.839123791815187,12.212907887943047,3.6873612103062254,25.508422934959576,0.0,16.492459425769766,0,0
